id,listing_url,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,review_scores_rating,review_scores_value
1319797898531185231,https://www.airbnb.com/rooms/1319797898531185231,Copacabana,-22.96552,-43.17674,Entire home/apt,4,1.0,1.0,1.0,333.0,5.0,5.0
41334699,https://www.airbnb.com/rooms/41334699,Ipanema,-22.98302,-43.19978,Entire home/apt,2,1.0,1.0,1.0,180.0,4.71,4.76
1153112449849746859,https://www.airbnb.com/rooms/1153112449849746859,Barra da Tijuca,-23.01026736154536,-43.35475624232789,Entire home/apt,4,1.0,1.0,2.0,366.0,5.0,4.93
4025406,https://www.airbnb.com/rooms/4025406,Copacabana,-22.98151588439941,-43.194217681884766,Entire home/apt,6,2.0,2.0,4.0,201.0,4.63,4.67
943363125680024201,https://www.airbnb.com/rooms/943363125680024201,Copacabana,-22.97765,-43.19173,Entire home/apt,4,1.0,1.0,2.0,268.0,4.82,4.83
15654082,https://www.airbnb.com/rooms/15654082,Copacabana,-22.96528,-43.17533,Entire home/apt,2,1.0,1.0,2.0,217.0,4.85,4.8
1101727930670517443,https://www.airbnb.com/rooms/1101727930670517443,Ipanema,-22.98399,-43.20395,Entire home/apt,4,1.0,1.0,2.0,265.0,4.83,4.86
1200095490719410459,https://www.airbnb.com/rooms/1200095490719410459,Copacabana,-22.970026597960004,-43.18498708903295,Entire home/apt,6,1.0,1.0,2.0,150.0,4.95,4.83
1204108042708193219,https://www.airbnb.com/rooms/1204108042708193219,Centro,-22.91325026764789,-43.18427871902803,Entire home/apt,5,1.0,1.0,3.0,104.0,4.74,4.63
1049244081317931923,https://www.airbnb.com/rooms/1049244081317931923,Copacabana,-22.98091559104999,-43.18986763712168,Entire home/apt,6,2.5,3.0,3.0,397.0,4.89,4.78
2248466,https://www.airbnb.com/rooms/2248466,Copacabana,-22.97475,-43.18754,Entire home/apt,8,2.0,3.0,6.0,725.0,4.82,4.77
1429115687904143256,https://www.airbnb.com/rooms/1429115687904143256,Jardim Botânico,-22.961689423765204,-43.22375463558197,Entire home/apt,2,1.0,1.0,1.0,479.0,,
21863258,https://www.airbnb.com/rooms/21863258,Copacabana,-22.97553,-43.18677,Entire home/apt,4,1.0,1.0,2.0,480.0,4.6,4.67
22484576,https://www.airbnb.com/rooms/22484576,Copacabana,-22.972363870168333,-43.19198906984693,Entire home/apt,5,1.5,2.0,2.0,276.0,4.94,4.89
1321054959772365291,https://www.airbnb.com/rooms/1321054959772365291,Recreio dos Bandeirantes,-23.03105,-43.47318,Entire home/apt,4,2.0,1.0,1.0,750.0,,
1310849852159871497,https://www.airbnb.com/rooms/1310849852159871497,Barra da Tijuca,-23.006641812565967,-43.32237256769472,Entire home/apt,4,2.0,2.0,2.0,361.0,5.0,5.0
1336409286671697540,https://www.airbnb.com/rooms/1336409286671697540,Barra da Tijuca,-23.00531329336959,-43.32217684536894,Entire home/apt,3,2.0,2.0,2.0,369.0,5.0,4.5
35037045,https://www.airbnb.com/rooms/35037045,Centro,-22.91743,-43.18811,Private room,2,1.0,1.0,2.0,180.0,5.0,4.8
